Tables From Bus__1,Tables To Bus__2,Tables Line No.__3,Tables Switch Status__4,Tables Line R(Q)__5,Tables Χ(Ω)__6,,,,,,,,,,,,
1,2,1,1,0.045,0.186,,,,,,,,,,,,
1,12,2,1,0.045,0.186,,,,,,,,,,,,
2,3,3,1,0.023,0.093,,,,,,,,,,,,
2,5,4,1,0.090,0.370,,,,,,,,,,,,
3,4,5,1,0.023,0.093,,,,,,,,,,,,
3,6,6,1,0.023,0.093,,,,,,,,,,,,
4,8,7,1,0.023,0.093,,,,,,,,,,,,
6,7,8,1,0.023,0.093,,,,,,,,,,,,
7,11,9,0,0.045,0.186,,,,,,,,,,,,
8,9,10,1,0.023,0.093,,,,,,,,,,,,
9,10,11,1,0.023,0.093,,,,,,,,,,,,
10,11,12,1,0.023,0.093,,,,,,,,,,,,
11,21,13,0,0.045,0.186,,,,,,,,,,,,
12,13,14,1,0.023,0.093,,,,,,,,,,,,
12,15,15,1,0.090,0.370,,,,,,,,,,,,
13,14,16,1,0.023,0.093,,,,,,,,,,,,
13,16,17,1,0.023,0.093,,,,,,,,,,,,
14,18,18,1,0.023,0.093,,,,,,,,,,,,
16,17,19,1,0.023,0.093,,,,,,,,,,,,
17,21,20,0,0.045,0.186,,,,,,,,,,,,
18,19,21,1,0.023,0.093,,,,,,,,,,,,
19,20,22,1,0.023,0.093,,,,,,,,,,,,
20,21,23,1,0.023,0.093,,,,,,,,,,,,